id,title,screen_size_diagonal,response_time,supported_aspect_ratio,contrast_ratio_static,screen_brightness,supported_resolution,screen_type,number_of_colors
www.itenergy.co.uk//444,"GB2773HS-GB1, IIYGB2773HSGB, Iiyama, LCD Monitor, Itenergy Ltd","68.6 cm (27"")",1 ms,16:9,"1,000:1",300 cd/mÂ²,1920 x 1080,LCD Monitor,16.7 Million Colours
www.itenergy.co.uk//782,"HE225DPB, V320087, Hannspree, LCD Monitor, Itenergy Ltd","54.6 cm (21.5"")",5 ms,16:9,"1,000:1",250 cd/mÂ²,1920 x 1080,LCD Monitor,16.7 Million Colours
www.itenergy.co.uk//679,"C9F26AA#ABT, HP, LCD Monitor, Itenergy Ltd","50.8 cm (20"")",5 ms,16:9,"1,000:1",250 cd/mÂ²,1600 x 900,LCD Monitor,16.77 Million Colors
www.itenergy.co.uk//481,"UM.FG7EE.001, 3054998, Acer, LCD Monitor, Itenergy Ltd","61 cm (24"")",6 ms,16:9,"100,000,000:1",250 cd/mÂ²,1920 x 1080,LCD Monitor,16.7 Million Colours
www.itenergy.co.uk//220,"210-ABRO, 0912943, Dell, LCD Monitor, Itenergy Ltd","68.6 cm (27"")",8 ms,16:9,"2,000,000:1",300 cd/mÂ²,1920 x 1080,LCD Monitor,16.7 Million Colours
www.itenergy.co.uk//794,"271P4QPJKEB/00, Philips, LCD Monitor, Itenergy Ltd","68.6 cm (27"")",6 ms,16:9,"5,000:1",300 cd/mÂ²,1920 x 1080,LCD Monitor,16.7 Million Colours
www.itenergy.co.uk//630,"C9F26AA#ABB, HP, LCD Monitor, Itenergy Ltd","50.8 cm (20"")",5 ms,16:9,"1,000:1",250 cd/mÂ²,1600 x 900,LCD Monitor,
www.itenergy.co.uk//638,"9H.LA2LA.TPU, BenQ, LCD Monitor, Itenergy Ltd","54.6 cm (21.5"")",6 ms,16:9,"3,000:1",250 cd/mÂ²,1920 x 1080,LCD Monitor,16.7 Million Colours
www.itenergy.co.uk//344,"60ABAAT1UK, LNVCMG10, Lenovo, LCD Monitor, Itenergy Ltd","49.5 cm (19.5"")",5 ms,16:9,600:1,200 cd/mÂ²,1600 x 900,LCD Monitor,16.7 Million Colours
www.itenergy.co.uk//595,"859-BBBI, Dell, LCD Monitor, Itenergy Ltd",,,,,,,,
www.itenergy.co.uk//280,"861-BBDH, 0912937, Dell, LCD Monitor, Itenergy Ltd","54.6 cm (21.5"")",8 ms,16:9,"8,000,000:1",250 cd/mÂ²,1920 x 1080,LCD Monitor,16.77 Million Colors
www.itenergy.co.uk//641,"9H.L9DLA.TBE, M352221, BenQ, LCD Monitor, Itenergy Ltd","54.6 cm (21.5"")",4 ms,16:9,"3,000:1",250 cd/mÂ²,1920 x 1080,LCD Monitor,16.7 Million Colours
www.itenergy.co.uk//376,"VA951S, B921668, ViewSonic, LCD Monitor, Itenergy Ltd","48.3 cm (19"")",5 ms,5:4,"20,000,000:1",250 cd/mÂ²,1280 x 1024,LCD Monitor,16.7 Million Colours
www.itenergy.co.uk//624,"A1X76AA#ABU, 94389XM, HP, LCD Monitor, Itenergy Ltd","26.4 cm (10.4"")",25 ms,4:3,"1,000:1",300 cd/mÂ²,1024 x 768,LCD Monitor,
www.itenergy.co.uk//662,"B5M13AA#ABB, HP, LCD Monitor, Itenergy Ltd","50.8 cm (20"")",5 ms,16:9,600:1,200 cd/mÂ²,1600 x 900,LCD Monitor,
www.itenergy.co.uk//216,"UM.HV6EE.013, 8654J44, Acer, LCD Monitor, Itenergy Ltd","68.6 cm (27"")",6 ms,16:9,"100,000,000:1",300 cd/mÂ²,1920 x 1080,LCD Monitor,16.7 Million Colours
www.itenergy.co.uk//233,"UM.WW3EE.001, 2975740, Acer, LCD Monitor, Itenergy Ltd","54.6 cm (21.5"")",5 ms,16:9,"100,000,000:1",200 cd/mÂ²,1920 x 1080,LCD Monitor,16.7 Million Colours
www.itenergy.co.uk//249,"UM.FG6EE.A01, ACEG246HLABD, Acer, LCD Monitor, Itenergy Ltd","61 cm (24"")",5 ms,16:9,"100,000,000:1",250 cd/mÂ²,1920 x 1080,LCD Monitor,16.7 Million Colours
www.itenergy.co.uk//640,"857-BBBV, Dell, LCD Monitor, Itenergy Ltd","48.3 cm (19"")",8 ms,5:4,"2,000,000:1",250 cd/mÂ²,1280 x 1024,LCD Monitor,16.7 Million Colours
www.itenergy.co.uk//684,"220B4LPCS/00, Philips, LCD Monitor, Itenergy Ltd","55.9 cm (22"")",5 ms,16:10,"1,000:1",250 cd/mÂ²,1680 x 1050,LCD Monitor,16.7 Million Colours
www.itenergy.co.uk//518,"HL205DPB, V320093, Hannspree, LCD Monitor, Itenergy Ltd","49.5 cm (19.5"")",5 ms,16:9,"1,000:1",250 cd/mÂ²,1600 x 900,LCD Monitor,16.7 Million Colours
www.itenergy.co.uk//163,"859-BBCT, 0912944, Dell, LCD Monitor, Itenergy Ltd",,,,,,,,
www.itenergy.co.uk//331,"X2483HSU-B1, IIYX2483HSUB, Iiyama, LCD Monitor, Itenergy Ltd","61 cm (24"")",4 ms,16:9,"3,000:1",250 cd/mÂ²,1920 x 1080,LCD Monitor,16.7 Million Colours
www.itenergy.co.uk//738,"B7M13AA#ABU, HP, LCD Monitor, Itenergy Ltd","47 cm (18.5"")",5 ms,16:9,600:1,200 cd/mÂ²,1366 x 768,LCD Monitor,
www.itenergy.co.uk//445,"22MB65PY-B, 2975561, LG Electronics, LCD Monitor, Itenergy Ltd","55.9 cm (22"")",5 ms,16:10,"5,000,000:1",250 cd/mÂ²,1680 x 1050,LCD Monitor,
www.itenergy.co.uk//399,"XU2390HS-B1, 2992908, Iiyama, LCD Monitor, Itenergy Ltd","58.4 cm (23"")",5 ms,16:9,"5,000,000:1",250 cd/mÂ²,1920 x 1080,LCD Monitor,16.7 Million Colours
www.itenergy.co.uk//667,"C9E49AA#ABB, HP, LCD Monitor, Itenergy Ltd","54.6 cm (21.5"")",5 ms,16:9,"1,000:1",250 cd/mÂ²,1920 x 1080,LCD Monitor,
www.itenergy.co.uk//218,"247E4LHAB/00, 2689199, Philips, LCD Monitor, Itenergy Ltd","59.9 cm (23.6"")",5 ms,16:9,"10,000:1",250 cd/mÂ²,1920 x 1080,LCD Monitor,16.7 Million Colours
www.itenergy.co.uk//296,"284E5QHAD/00, 2905242, Philips, LCD Monitor, Itenergy Ltd","71.1 cm (28"")",4 ms,16:9,"3,000:1",300 cd/mÂ²,1920 x 1080,LCD Monitor,16.7 Million Colours
www.itenergy.co.uk//405,"221B3LPCS/02, 2540936, Philips, LCD Monitor, Itenergy Ltd","54.6 cm (21.5"")",5 ms,16:9,"1,000:1",250 cd/mÂ²,1980 x 1080,LCD Monitor,16.7 Million Colours
www.itenergy.co.uk//400,"220V4LSB/00, 2788641, Philips, LCD Monitor, Itenergy Ltd","55.9 cm (22"")",5 ms,16:10,"1,000:1",250 cd/mÂ²,1680 x 1050,LCD Monitor,16.7 Million Colours
www.itenergy.co.uk//338,"60003334, 3967978, NEC Display Solutions, LCD Monitor, Itenergy Ltd","55.9 cm (22"")",5 ms,16:10,"25,000:1",250 cd/mÂ²,1680 x 1050,LCD Monitor,16.7 Million Colours
www.itenergy.co.uk//700,"E2083HSD-B1, IIYE2083HSDB, Iiyama, LCD Monitor, Itenergy Ltd","49.5 cm (19.5"")",5 ms,16:9,"1,000:1",250 cd/mÂ²,1600 x 900,LCD Monitor,16.7 Million Colours
www.itenergy.co.uk//711,"C171, AM-C171-LCD-CCTV, Edge10, LCD Monitor, Itenergy Ltd","43.2 cm (17"")",5 ms,,450:1,300 cd/mÂ²,1280 x 1024,LCD Monitor,16.2 Million Colours
www.itenergy.co.uk//659,"CD4233, B921364, ViewSonic, LCD Monitor, Itenergy Ltd","106.7 cm (42"")",9 ms,16:9,"1,100:1",700 cd/mÂ²,1920 x 1080,LCD Monitor,
www.itenergy.co.uk//245,"UM.WV6EE.B04, 8655C12, Acer, LCD Monitor, Itenergy Ltd","54.6 cm (21.5"")",5 ms,16:9,"100,000,000:1",200 cd/mÂ²,1920 x 1080,LCD Monitor,16.7 Million Colours
www.itenergy.co.uk//244,"860-10148, 0912950, Dell, LCD Monitor, Itenergy Ltd","61 cm (24"")",8 ms,16:10,"2,000,000:1",300 cd/mÂ²,1920 x 1200,LCD Monitor,16.78 Million Colors
www.itenergy.co.uk//666,"LS19C45KBWV/EN, Samsung, LCD Monitor, Itenergy Ltd","48.3 cm (19"")",5 ms,16:10,"1,000:1",250 cd/mÂ²,1440 x 900,LCD Monitor,16.7 Million Colours
www.itenergy.co.uk//383,"UM.HK3EE.005, PBVISEO273DBID, Acer, LCD Monitor, Itenergy Ltd","68.6 cm (27"")",6 ms,16:9,"100,000,000:1",300 cd/mÂ²,1920 x 1080,LCD Monitor,16.7 Million Colours
www.itenergy.co.uk//267,"27EA33V, 4065227, LG Electronics, LCD Monitor, Itenergy Ltd","68.6 cm (27"")",5 ms,16:9,"5,000,000:1",200 cd/mÂ²,1920 x 1080,LCD Monitor,16.7 Million Colours
www.itenergy.co.uk//295,"9H.LAXLB.HBE, M352388, BenQ, LCD Monitor, Itenergy Ltd","61 cm (24"")",2 ms,16:9,"1,000:1",250 cd/mÂ²,1920 x 1080,LCD Monitor,16.7 Million Colours
www.itenergy.co.uk//609,"C9V73AA#A2Q, HP, LCD Monitor, Itenergy Ltd","50.8 cm (20"")",5 ms,16:9,"5,000,000:1",250 cd/mÂ²,1600 x 900,LCD Monitor,
www.itenergy.co.uk//322,"9H.L6VLA.TPE, M352447, BenQ, LCD Monitor, Itenergy Ltd","55.9 cm (22"")",5 ms,,"12,000,000:1",250 cd/mÂ²,1920 x 1080,LCD Monitor,
www.itenergy.co.uk//260,"UM.XV6EE.A03, 8654G57, Acer, LCD Monitor, Itenergy Ltd","47 cm (18.5"")",5 ms,16:9,"100,000,000:1",200 cd/mÂ²,1366 x 768,LCD Monitor,16.7 Million Colours
www.itenergy.co.uk//715,"241S4LCB/00, Philips, LCD Monitor, Itenergy Ltd","61 cm (24"")",5 ms,16:9,"1,000:1",250 cd/mÂ²,1920 x 1080,LCD Monitor,16.7 Million Colours
www.itenergy.co.uk//703,"60002933, 3967385, NEC Display Solutions, LCD Monitor, Itenergy Ltd","58.4 cm (23"")",5 ms,16:9,"1,000:1",250 cd/mÂ²,1920 x 1080,LCD Monitor,16.7 Million Colours
www.itenergy.co.uk//745,"HE195ANB, V320105, Hannspree, LCD Monitor, Itenergy Ltd","47 cm (18.5"")",5 ms,16:9,"40,000,000:1",200 cd/mÂ²,1366 x 768,LCD Monitor,16.7 Million Colours
www.itenergy.co.uk//735,"60B3HAT2UK, S603VA0, Lenovo, LCD Monitor, Itenergy Ltd","43.2 cm (17"")",5 ms,5:4,"1,000:1",250 cd/mÂ²,1280 x 1024,LCD Monitor,16.7 Million Colours
www.itenergy.co.uk//650,"E104733, S610635, Elo Touch Solutions, Inc, LCD Monitor, Itenergy Ltd","68.6 cm (27"")",12 ms,16:9,"3,000:1",300 cd/mÂ²,1920 x 1080,Open-frame LCD Monitor,16.7 Million Colours
www.itenergy.co.uk//442,"861-BBBF, 0912949, Dell, LCD Monitor, Itenergy Ltd","55.9 cm (22"")",8 ms,16:9,"2,000,000:1",250 cd/mÂ²,1920 x 1080,LCD Monitor,16.7 Million Colours
www.itenergy.co.uk//526,"246V5LAB/00, 2716380, Philips, LCD Monitor, Itenergy Ltd","61 cm (24"")",5 ms,16:9,"1,000:1",250 cd/mÂ²,1920 x 1080,LCD Monitor,16.7 Million Colours
www.itenergy.co.uk//635,"C9V75AT#ABU, HP, LCD Monitor, Itenergy Ltd","58.4 cm (23"")",5 ms,16:9,"1,000:1",250 cd/mÂ²,1920 x 1080,LCD Monitor,
www.itenergy.co.uk//293,"224E5QDAB/00, 2974034, Philips, LCD Monitor, Itenergy Ltd","54.6 cm (21.5"")",5 ms,16:9,"20,000,000:1",250 cd/mÂ²,1920 x 1080,LCD Monitor,16.7 Million Colours
www.itenergy.co.uk//686,"C9V75AA#AB1, HP, LCD Monitor, Itenergy Ltd","58.4 cm (23"")",5 ms,16:9,"5,000,000:1",250 cd/mÂ²,1920 x 1080,LCD Monitor,
www.itenergy.co.uk//440,"861-BBCD, DELE2214H, Dell, LCD Monitor, Itenergy Ltd","54.6 cm (21.5"")",5 ms,16:9,"1,000:1",250 cd/mÂ²,1920 x 1080,LCD Monitor,16.7 Million Colours
www.itenergy.co.uk//690,"LH46OLBPPGC/EN, Samsung, LCD Monitor, Itenergy Ltd","116.8 cm (46"")",8 ms,16:9,"4,000:1",1500 cd/mÂ²,1920 x 1080,LCD Monitor,16.7 Million Colours
www.itenergy.co.uk//767,"C9V75AA#UUZ, HP, LCD Monitor, Itenergy Ltd","58.4 cm (23"")",5 ms,16:9,"1,000:1",250 cd/mÂ²,1920 x 1080,LCD Monitor,16.77 Million Colors
www.itenergy.co.uk//605,"60003496, NECMON740, NEC Display Solutions, LCD Monitor, Itenergy Ltd","54.6 cm (21.5"")",5 ms,16:9,"1,000:1",250 cd/mÂ²,1920 x 1080,LCD Monitor,16.7 Million Colours
www.itenergy.co.uk//515,"R72MCWL, S603KY1, Lenovo, LCD Monitor, Itenergy Ltd","55.9 cm (22"")",5 ms,16:10,"1,000:1",250 cd/mÂ²,1680 x 1050,LCD Monitor,16.7 Million Colours
www.itenergy.co.uk//466,"D7R00AT#ABU, 3125989, HP, LCD Monitor, Itenergy Ltd","68.6 cm (27"")",7 ms,16:9,"1,000:1",250 cd/mÂ²,2560 x 1440,LCD Monitor,1.07 Billion Colors
www.itenergy.co.uk//437,"220P4LPYEB/00, 2674289, Philips, LCD Monitor, Itenergy Ltd","55.9 cm (22"")",5 ms,16:10,"1,000:1",250 cd/mÂ²,1680 x 1050,LCD Monitor,16.7 Million Colours
www.itenergy.co.uk//646,"60003587, 3968097, NEC Display Solutions, LCD Monitor, Itenergy Ltd","58.4 cm (23"")",6 ms,16:4,"1,000:1",250 cd/mÂ²,1920 x 1080,LCD Monitor,16.77 Million Colors
www.itenergy.co.uk//262,"VX2409, B921662, ViewSonic, LCD Monitor, Itenergy Ltd","61 cm (24"")",5 ms,16:9,"20,000,000:1",250 cd/mÂ²,1920 x 1080,LCD Monitor,16.7 Million Colours
www.itenergy.co.uk//722,"47WS10, LG47WS10, LG Electronics, LCD Monitor, Itenergy Ltd","119.4 cm (47"")",12 ms,16:9,"1,300:1",450 cd/mÂ²,1920 x 1080,LCD Monitor,1.06 Billion Colors
www.itenergy.co.uk//683,"LH22UDBPLBB/EN, 2514217, Samsung, LCD Monitor, Itenergy Ltd","55.9 cm (22"")",6 ms,1:1,"4,000:1",450 cd/mÂ²,960 x 960,LCD Monitor,16.7 Million Colours
www.itenergy.co.uk//759,"860-BBBG, Dell, LCD Monitor, Itenergy Ltd","60.5 cm (23.8"")",8 ms,16:9,"2,000,000:1",250 cd/mÂ²,1920 x 1080,LCD Monitor,16.7 Million Colours
www.itenergy.co.uk//423,"22MP65HQ-P, 3003551, LG Electronics, LCD Monitor, Itenergy Ltd","54.6 cm (21.5"")",5 ms,16:9,"1,000:1",250 cd/mÂ²,1920 x 1080,LCD Monitor,16.7 Million Colours
www.itenergy.co.uk//418,"F3J72AT#ABU, 943ASGK, HP, LCD Monitor, Itenergy Ltd","58.4 cm (23"")",7 ms,16:9,"5,000,000:1",250 cd/mÂ²,1920 x 1080,LCD Monitor,
www.itenergy.co.uk//315,"B2780HSU-W2, 3057091, Iiyama, LCD Monitor, Itenergy Ltd","68.6 cm (27"")",1 ms,16:9,"5,000,000:1",300 cd/mÂ²,1920 x 1080,LCD Monitor,16.7 Million Colours
www.itenergy.co.uk//731,"VP2772, GLVSP2772, ViewSonic, LCD Monitor, Itenergy Ltd","68.6 cm (27"")",,,"1,000:1",,2560 x 1440,LCD Monitor,
www.itenergy.co.uk//672,"9H.LC3LB.QBE, M352551, BenQ, LCD Monitor, Itenergy Ltd","81.3 cm (32"")",12 ms,16:9,"20,000,000:1",300 cd/mÂ²,2560 x 1440,LCD Monitor,1.07 Billion Colors
www.itenergy.co.uk//616,"9H.LC5LB.RBE, M352478, BenQ, LCD Monitor, Itenergy Ltd","61 cm (24"")",1 ms,16:9,"12,000,000:1",350 cd/mÂ²,1920 x 1080,LCD Monitor,16.7 Million Colours
www.itenergy.co.uk//213,"PLE2273HDS-B1, II-PLE2273HDS-B1, Iiyama, LCD Monitor, Itenergy Ltd","55.9 cm (22"")",2 ms,16:9,"1,000:1",250 cd/mÂ²,1920 x 1080,LCD Monitor,16.7 Million Colours
www.itenergy.co.uk//270,"60002820, 3967436, NEC Display Solutions, LCD Monitor, Itenergy Ltd","50.8 cm (20"")",5 ms,16:9,"1,000:1",250 cd/mÂ²,1600 x 900,LCD Monitor,16.7 Million Colours
www.itenergy.co.uk//248,"B2481HS-B1, 2541179, Iiyama, LCD Monitor, Itenergy Ltd","61 cm (24"")",2 ms,16:9,"1,000:1",250 cd/mÂ²,1920 x 1080,LCD Monitor,16.7 Million Colours
www.itenergy.co.uk//769,"273P3LPHES/00, Philips, LCD Monitor, Itenergy Ltd","68.6 cm (27"")",1 ms,16:9,"1,200:1",300 cd/mÂ²,1920 x 1080,LCD Monitor,16.7 Million Colours
www.itenergy.co.uk//688,"F0W81AA#ABB, HP, LCD Monitor, Itenergy Ltd","61 cm (24"")",8 ms,16:10,"5,000,000:1",250 cd/mÂ²,1920 x 1200,LCD Monitor,
www.itenergy.co.uk//415,"E2411PU-BN, 4064349, LG Electronics, LCD Monitor, Itenergy Ltd","61 cm (24"")",5 ms,16:9,"5,000,000:1",250 cd/mÂ²,1920 x 1080,LCD Monitor,16.7 Million Colours
www.itenergy.co.uk//212,"VX2858SML, B921660, ViewSonic, LCD Monitor, Itenergy Ltd","71.1 cm (28"")",6 ms,16:9,"3,000:1",300 cd/mÂ²,1920 x 1080,LCD Monitor,
www.itenergy.co.uk//297,"XB2380HS-B1, IIYNOT007, Iiyama, LCD Monitor, Itenergy Ltd","58.4 cm (23"")",5 ms,16:9,"1,000:1",250 cd/mÂ²,1920 x 1080,LCD Monitor,16.7 Million Colours
www.itenergy.co.uk//265,"UM.BV6EE.001, ACEV176LB, Acer, LCD Monitor, Itenergy Ltd","43.2 cm (17"")",5 ms,5:4,"100,000,000:1",250 cd/mÂ²,1280 x 1024,LCD Monitor,16.7 Million Colours
www.itenergy.co.uk//614,"247E4LHSB/00, Philips, LCD Monitor, Itenergy Ltd","59.9 cm (23.6"")",5 ms,16:9,"1,000:1",250 cd/mÂ²,1920 x 1080,LCD Monitor,16.7 Million Colours
www.itenergy.co.uk//774,"LU28D590DS/EN, 886M834, Samsung, LCD Monitor, Itenergy Ltd","71.1 cm (28"")",1 ms,,"1,000:1",370 cd/mÂ²,3840 x 2160,LCD Monitor,1 Billion Colors
www.itenergy.co.uk//362,"E5Z95AA#ABU, 3040570, HP, LCD Monitor, Itenergy Ltd","59.9 cm (23.6"")",5 ms,16:9,"3,000,000:1",250 cd/mÂ²,1920 x 1080,LCD Monitor,
www.itenergy.co.uk//657,"B5M13AA#ABU, HP, LCD Monitor, Itenergy Ltd","50.8 cm (20"")",5 ms,16:9,600:1,200 cd/mÂ²,1600 x 900,LCD Monitor,
www.itenergy.co.uk//729,"A1X76AA#UUZ, 9438B1N, HP, LCD Monitor, Itenergy Ltd","26.4 cm (10.4"")",25 ms,4:3,"1,000:1",300 cd/mÂ²,1024 x 768,LCD Monitor,
www.itenergy.co.uk//607,"B7M13AS#ABB, HP, LCD Monitor, Itenergy Ltd","47 cm (18.5"")",5 ms,16:9,600:1,200 cd/mÂ²,1366 x 768,LCD Monitor,16.7 Million Colours
www.itenergy.co.uk//429,"HS221HPB, V320108, Hannspree, LCD Monitor, Itenergy Ltd","54.6 cm (21.5"")",5 ms,16:9,"80,000,000:1",250 cd/mÂ²,1920 x 1080,LCD Monitor,16.7 Million Colours
www.itenergy.co.uk//243,"D7Z72AT#ABU, 2846672, HP, LCD Monitor, Itenergy Ltd","68.6 cm (27"")",7 ms,16:9,"1,000:1",250 cd/mÂ²,1920 x 1080,LCD Monitor,16.77 Million Colors
www.itenergy.co.uk//495,"9H.L4WLA.SBE, M351867, BenQ, LCD Monitor, Itenergy Ltd","55.9 cm (22"")",5 ms,16:10,"1,000:1",250 cd/mÂ²,1680 x 1050,LCD Monitor,
www.itenergy.co.uk//158,"C9V73AT#ABU, HP, LCD Monitor, Itenergy Ltd","50.8 cm (20"")",5 ms,16:9,"1,000:1",250 cd/mÂ²,1600 x 900,LCD Monitor,
www.itenergy.co.uk//754,"223V5LSB2/10, 2788559, Philips, LCD Monitor, Itenergy Ltd","54.6 cm (21.5"")",5 ms,16:9,600:1,200 cd/mÂ²,1920 x 1080,LCD Monitor,16.7 Million Colours
www.itenergy.co.uk//625,"HW246HBB, V320091, Hannspree, LCD Monitor, Itenergy Ltd","59.9 cm (23.6"")",5 ms,16:9,"40,000,000:1",250 cd/mÂ²,1920 x 1080,LCD Monitor,
www.itenergy.co.uk//475,"VG2233SMH, B921637, ViewSonic, LCD Monitor, Itenergy Ltd","55.9 cm (22"")",4 ms,16:9,"20,000,000:1",250 cd/mÂ²,1920 x 1080,LCD Monitor,16.7 Million Colours
www.itenergy.co.uk//730,"C9V73AA#A2K, HP, LCD Monitor, Itenergy Ltd","50.8 cm (20"")",5 ms,16:9,"5,000,000:1",250 cd/mÂ²,1600 x 900,LCD Monitor,
www.itenergy.co.uk//698,"60003329, NECX552S, NEC Display Solutions, LCD Monitor, Itenergy Ltd","139.7 cm (55"")",8 ms,16:9,"4,000:1",700 cd/mÂ²,1920 x 1080,LCD Monitor,
www.itenergy.co.uk//770,"UM.CV6EE.017, 8654G58, Acer, LCD Monitor, Itenergy Ltd","48.3 cm (19"")",5 ms,5:4,"100,000,000:1",250 cd/mÂ²,1280 x 1024,LCD Monitor,16.7 Million Colours
www.itenergy.co.uk//416,"9H.L9JLB.QBE, M352239, BenQ, LCD Monitor, Itenergy Ltd","61 cm (24"")",4 ms,16:9,"5,000:1",250 cd/mÂ²,1920 x 1080,LCD Monitor,16.7 Million Colours
www.itenergy.co.uk//375,"UM.WW3EE.005, 3183424, Acer, LCD Monitor, Itenergy Ltd","54.6 cm (21.5"")",5 ms,16:9,"100,000,000:1",200 cd/mÂ²,1920 x 1080,LCD Monitor,16.7 Million Colours
www.itenergy.co.uk//229,"19B4LCB5/00, 2905225, Philips, LCD Monitor, Itenergy Ltd","48.3 cm (19"")",5 ms,5:4,"1,000:1",250 cd/mÂ²,1280 x 1024,LCD Monitor,16.7 Million Colours
www.itenergy.co.uk//264,"60A4RAT1UK, 2746621, Lenovo, LCD Monitor, Itenergy Ltd","76.2 cm (30"")",6 ms,16:10,"1,000:1",300 cd/mÂ²,2560 x 1600,LCD Monitor,1.07 Billion Colors
www.itenergy.co.uk//414,"VA2046M-LED, B921481, ViewSonic, LCD Monitor, Itenergy Ltd","50.8 cm (20"")",5 ms,16:9,600:1,200 cd/mÂ²,1600 x 900,LCD Monitor,16.7 Million Colours
www.itenergy.co.uk//486,"D7P92AT#ABU, 2987587, HP, LCD Monitor, Itenergy Ltd","68.6 cm (27"")",8 ms,16:9,"5,000,000:1",350 cd/mÂ²,2560 x 1440,LCD Monitor,
www.itenergy.co.uk//678,"C9E49AA, HP, LCD Monitor, Itenergy Ltd","54.6 cm (21.5"")",5 ms,16:9,"1,000:1",250 cd/mÂ²,1920 x 1080,LCD Monitor,
www.itenergy.co.uk//222,"E2480HS-B1, IIYNOT004, Iiyama, LCD Monitor, Itenergy Ltd","61 cm (24"")",2 ms,16:9,"1,000:1",300 cd/mÂ²,1920 x 1080,LCD Monitor,16.7 Million Colours
www.itenergy.co.uk//341,"9H.LA2LB.DPE, 3223116, BenQ, LCD Monitor, Itenergy Ltd","54.6 cm (21.5"")",6 ms,16:9,"20,000,000:1",250 cd/mÂ²,1920 x 1080,LCD Monitor,16.7 Million Colours
www.itenergy.co.uk//637,"LS27C570HS/EN, Samsung, LCD Monitor, Itenergy Ltd","68.6 cm (27"")",5 ms,,"1,000:1",300 cd/mÂ²,1920 x 1080,LCD Monitor,16.7 Million Colours
www.itenergy.co.uk//505,"273V5LHAB/00, 2788644, Philips, LCD Monitor, Itenergy Ltd","68.6 cm (27"")",5 ms,16:9,"1,000:1",300 cd/mÂ²,1920 x 1080,LCD Monitor,16.7 Million Colours
www.itenergy.co.uk//391,"210-AAPI, DELU3014, Dell, LCD Monitor, Itenergy Ltd","76.2 cm (30"")",6 ms,16:10,"1,000:1",350 cd/mÂ²,2560 x 1600,LCD Monitor,1.07 Billion Colors
www.itenergy.co.uk//726,"C9V75AA#AB8, HP, LCD Monitor, Itenergy Ltd","58.4 cm (23"")",5 ms,16:9,"5,000,000:1",250 cd/mÂ²,1920 x 1080,LCD Monitor,
www.itenergy.co.uk//746,"C9F26AA#UUZ, HP, LCD Monitor, Itenergy Ltd","50.8 cm (20"")",5 ms,16:9,"1,000:1",250 cd/mÂ²,1600 x 900,LCD Monitor,16.77 Million Colors
www.itenergy.co.uk//479,"D7P94AT#ABU, 9439K0V, HP, LCD Monitor, Itenergy Ltd","76.2 cm (30"")",8 ms,16:10,"1,000:1",350 cd/mÂ²,2560 x 1600,LCD Monitor,16.77 Million Colors
www.itenergy.co.uk//419,"858-10254, DELP2012H, Dell, LCD Monitor, Itenergy Ltd","50.8 cm (20"")",5 ms,16:9,"1,000:1",250 cd/mÂ²,1600 x 900,LCD Monitor,16.7 Million Colours
www.itenergy.co.uk//791,"C9V73AA#ABU, HP, LCD Monitor, Itenergy Ltd","50.8 cm (20"")",5 ms,16:9,"1,000:1",250 cd/mÂ²,1600 x 900,LCD Monitor,
www.itenergy.co.uk//232,"UM.BV6EE.005, ACEV176LBMD, Acer, LCD Monitor, Itenergy Ltd","43.2 cm (17"")",5 ms,5:4,"100,000,000:1",250 cd/mÂ²,1280 x 1024,LCD Monitor,16.7 Million Colours
www.itenergy.co.uk//199,"T28LNWL, S602WH2, Lenovo, LCD Monitor, Itenergy Ltd","58.4 cm (23"")",7 ms,16:9,"1,000:1",250 cd/mÂ²,1920 x 1080,LCD Monitor,16.7 Million Colours
www.itenergy.co.uk//330,"UM.WV6EE.A09, 8654G61, Acer, LCD Monitor, Itenergy Ltd","54.6 cm (21.5"")",8 ms,16:9,"100,000,000:1",250 cd/mÂ²,1920 x 1080,LCD Monitor,16.7 Million Colours
www.itenergy.co.uk//251,"857-BBCD, 0912946, Dell, LCD Monitor, Itenergy Ltd","48.3 cm (19"")",8 ms,5:4,"2,000,000:1",250 cd/mÂ²,1280 x 1024,LCD Monitor,16.7 Million Colours
www.itenergy.co.uk//512,"857-BBCJ, DELE1914H, Dell, LCD Monitor, Itenergy Ltd","47 cm (18.5"")",5 ms,16:9,600:1,200 cd/mÂ²,1366 x 768,LCD Monitor,16.7 Million Colours
www.itenergy.co.uk//327,"VA2349S, B921502, ViewSonic, LCD Monitor, Itenergy Ltd","58.4 cm (23"")",5 ms,16:9,"2,000:1",250 cd/mÂ²,1920 x 1080,LCD Monitor,
www.itenergy.co.uk//669,"UM.IW3EE.001, 2975739, Acer, LCD Monitor, Itenergy Ltd","49.5 cm (19.5"")",5 ms,16:9,"100,000,000:1",200 cd/mÂ²,1600 x 900,LCD Monitor,16.7 Million Colours
www.itenergy.co.uk//453,"9H.LATLA.HPE, M352415, BenQ, LCD Monitor, Itenergy Ltd","55.9 cm (22"")",5 ms,16:10,"1,000:1",250 cd/mÂ²,1680 x 1050,LCD Monitor,16.7 Million Colours
www.itenergy.co.uk//425,"861-BBBG, 0912934, Dell, LCD Monitor, Itenergy Ltd","55.9 cm (22"")",8 ms,16:9,"2,000,000:1",250 cd/mÂ²,1920 x 1080,LCD Monitor,16.7 Million Colours
